Year,Units,Income,Sex,Area,Regions,GeoCode,Value
2015,Percent,3.2 US dollars per day (based on PPP),,Rural,Kyzylorda,,0.9
2016,Percent,3.2 US dollars per day (based on PPP),,Rural,Kyzylorda,,0.1
2018,Percent,3.2 US dollars per day (based on PPP),,Rural,Kyzylorda,,0.1
2011,Percent,3.2 US dollars per day (based on PPP),,Rural,Mangistau,,0.2
2016,Percent,3.2 US dollars per day (based on PPP),,Rural,Mangistau,,0.1
2018,Percent,3.2 US dollars per day (based on PPP),,Rural,Mangistau,,0.3
2011,Percent,3.2 US dollars per day (based on PPP),,Rural,Ontustik Kazakhstan,,3.5
2012,Percent,3.2 US dollars per day (based on PPP),,Rural,Ontustik Kazakhstan,,2.9
2011,Percent,3.2 US dollars per day (based on PPP),,Rural,Pavlodar,,3.7
2012,Percent,3.2 US dollars per day (based on PPP),,Rural,Pavlodar,,3.2
2013,Percent,3.2 US dollars per day (based on PPP),,Rural,Pavlodar,,0.6
2014,Percent,3.2 US dollars per day (based on PPP),,Rural,Pavlodar,,0.1
2015,Percent,3.2 US dollars per day (based on PPP),,Rural,Pavlodar,,1.0
2016,Percent,3.2 US dollars per day (based on PPP),,Rural,Pavlodar,,1.1
2017,Percent,3.2 US dollars per day (based on PPP),,Rural,Pavlodar,,0.2
2018,Percent,3.2 US dollars per day (based on PPP),,Rural,Pavlodar,,0.2
2011,Percent,3.2 US dollars per day (based on PPP),,Rural,Soltustik Kazakhstan,,5.0
2012,Percent,3.2 US dollars per day (based on PPP),,Rural,Soltustik Kazakhstan,,3.9
2013,Percent,3.2 US dollars per day (based on PPP),,Rural,Soltustik Kazakhstan,,2.2
2014,Percent,3.2 US dollars per day (based on PPP),,Rural,Soltustik Kazakhstan,,1.6
2015,Percent,3.2 US dollars per day (based on PPP),,Rural,Soltustik Kazakhstan,,2.3
2016,Percent,3.2 US dollars per day (based on PPP),,Rural,Soltustik Kazakhstan,,1.6
2017,Percent,3.2 US dollars per day (based on PPP),,Rural,Soltustik Kazakhstan,,1.0
2018,Percent,3.2 US dollars per day (based on PPP),,Rural,Soltustik Kazakhstan,,0.3
2013,Percent,3.2 US dollars per day (based on PPP),,Rural,Turkistan,,1.6
2014,Percent,3.2 US dollars per day (based on PPP),,Rural,Turkistan,,0.8
2015,Percent,3.2 US dollars per day (based on PPP),,Rural,Turkistan,,0.7
2016,Percent,3.2 US dollars per day (based on PPP),,Rural,Turkistan,,1.7
2017,Percent,3.2 US dollars per day (based on PPP),,Rural,Turkistan,,0.9
2018,Percent,3.2 US dollars per day (based on PPP),,Rural,Turkistan,,0.5
2011,Percent,3.2 US dollars per day (based on PPP),,Rural,Shygys Kazakhstan,,4.2
2012,Percent,3.2 US dollars per day (based on PPP),,Rural,Shygys Kazakhstan,,1.4
2014,Percent,3.2 US dollars per day (based on PPP),,Rural,Shygys Kazakhstan,,1.2
2015,Percent,3.2 US dollars per day (based on PPP),,Rural,Shygys Kazakhstan,,2.1
2016,Percent,3.2 US dollars per day (based on PPP),,Rural,Shygys Kazakhstan,,0.5
2017,Percent,3.2 US dollars per day (based on PPP),,Rural,Shygys Kazakhstan,,2.0
2018,Percent,3.2 US dollars per day (based on PPP),,Rural,Shygys Kazakhstan,,0.9
2011,Percent,5.5 US dollars per day (based on PPP),,Rural,Akmola,,16.2
2012,Percent,5.5 US dollars per day (based on PPP),,Rural,Akmola,,17.3
2013,Percent,5.5 US dollars per day (based on PPP),,Rural,Akmola,,14.8
2014,Percent,5.5 US dollars per day (based on PPP),,Rural,Akmola,,11.8
2015,Percent,5.5 US dollars per day (based on PPP),,Rural,Akmola,,13.4
2016,Percent,5.5 US dollars per day (based on PPP),,Rural,Akmola,,13.6
2017,Percent,5.5 US dollars per day (based on PPP),,Rural,Akmola,,10.4
2018,Percent,5.5 US dollars per day (based on PPP),,Rural,Akmola,,7.6
2011,Percent,5.5 US dollars per day (based on PPP),,Rural,Aktobe,,20.9
2012,Percent,5.5 US dollars per day (based on PPP),,Rural,Aktobe,,15.6
2013,Percent,5.5 US dollars per day (based on PPP),,Rural,Aktobe,,17.3
2014,Percent,5.5 US dollars per day (based on PPP),,Rural,Aktobe,,12.6
2015,Percent,5.5 US dollars per day (based on PPP),,Rural,Aktobe,,20.7
2016,Percent,5.5 US dollars per day (based on PPP),,Rural,Aktobe,,13.2
2017,Percent,5.5 US dollars per day (based on PPP),,Rural,Aktobe,,12.9
2018,Percent,5.5 US dollars per day (based on PPP),,Rural,Aktobe,,12.6
2011,Percent,5.5 US dollars per day (based on PPP),,Rural,Almaty,,6.4
2012,Percent,5.5 US dollars per day (based on PPP),,Rural,Almaty,,8.4
2013,Percent,5.5 US dollars per day (based on PPP),,Rural,Almaty,,3.5
2014,Percent,5.5 US dollars per day (based on PPP),,Rural,Almaty,,4.7
2015,Percent,5.5 US dollars per day (based on PPP),,Rural,Almaty,,7.7
2016,Percent,5.5 US dollars per day (based on PPP),,Rural,Almaty,,5.0
2017,Percent,5.5 US dollars per day (based on PPP),,Rural,Almaty,,6.1
2018,Percent,5.5 US dollars per day (based on PPP),,Rural,Almaty,,4.2
2011,Percent,5.5 US dollars per day (based on PPP),,Rural,Atyrau,,10.7
2012,Percent,5.5 US dollars per day (based on PPP),,Rural,Atyrau,,8.6
2013,Percent,5.5 US dollars per day (based on PPP),,Rural,Atyrau,,8.6
2014,Percent,5.5 US dollars per day (based on PPP),,Rural,Atyrau,,13.5
2015,Percent,5.5 US dollars per day (based on PPP),,Rural,Atyrau,,15.7
2016,Percent,5.5 US dollars per day (based on PPP),,Rural,Atyrau,,13.3
2017,Percent,5.5 US dollars per day (based on PPP),,Rural,Atyrau,,8.1
2018,Percent,5.5 US dollars per day (based on PPP),,Rural,Atyrau,,7.5
2011,Percent,5.5 US dollars per day (based on PPP),,Rural,Batys Kazakhstan,,28.8
2012,Percent,5.5 US dollars per day (based on PPP),,Rural,Batys Kazakhstan,,34.8
2013,Percent,5.5 US dollars per day (based on PPP),,Rural,Batys Kazakhstan,,30.1
2014,Percent,5.5 US dollars per day (based on PPP),,Rural,Batys Kazakhstan,,26.7
2015,Percent,5.5 US dollars per day (based on PPP),,Rural,Batys Kazakhstan,,27.6
2016,Percent,5.5 US dollars per day (based on PPP),,Rural,Batys Kazakhstan,,22.6
2017,Percent,5.5 US dollars per day (based on PPP),,Rural,Batys Kazakhstan,,21.0
2018,Percent,5.5 US dollars per day (based on PPP),,Rural,Batys Kazakhstan,,13.8
2011,Percent,5.5 US dollars per day (based on PPP),,Rural,Zhambyl,,27.1
2012,Percent,5.5 US dollars per day (based on PPP),,Rural,Zhambyl,,41.3
2013,Percent,5.5 US dollars per day (based on PPP),,Rural,Zhambyl,,14.8
2014,Percent,5.5 US dollars per day (based on PPP),,Rural,Zhambyl,,17.1
2015,Percent,5.5 US dollars per day (based on PPP),,Rural,Zhambyl,,36.0
2016,Percent,5.5 US dollars per day (based on PPP),,Rural,Zhambyl,,32.3
2017,Percent,5.5 US dollars per day (based on PPP),,Rural,Zhambyl,,20.9
2018,Percent,5.5 US dollars per day (based on PPP),,Rural,Zhambyl,,14.8
2011,Percent,5.5 US dollars per day (based on PPP),,Rural,Karagandy,,22.9
2012,Percent,5.5 US dollars per day (based on PPP),,Rural,Karagandy,,25.6
2013,Percent,5.5 US dollars per day (based on PPP),,Rural,Karagandy,,21.6
2014,Percent,5.5 US dollars per day (based on PPP),,Rural,Karagandy,,16.0
2015,Percent,5.5 US dollars per day (based on PPP),,Rural,Karagandy,,18.7
2016,Percent,5.5 US dollars per day (based on PPP),,Rural,Karagandy,,13.6
2017,Percent,5.5 US dollars per day (based on PPP),,Rural,Karagandy,,14.3
2018,Percent,5.5 US dollars per day (based on PPP),,Rural,Karagandy,,7.5
2011,Percent,5.5 US dollars per day (based on PPP),,Rural,Kostanay,,21.4
2012,Percent,5.5 US dollars per day (based on PPP),,Rural,Kostanay,,19.0
2013,Percent,5.5 US dollars per day (based on PPP),,Rural,Kostanay,,14.6
2014,Percent,5.5 US dollars per day (based on PPP),,Rural,Kostanay,,15.8
2015,Percent,5.5 US dollars per day (based on PPP),,Rural,Kostanay,,20.1
2016,Percent,5.5 US dollars per day (based on PPP),,Rural,Kostanay,,18.1
2017,Percent,5.5 US dollars per day (based on PPP),,Rural,Kostanay,,11.9
2018,Percent,5.5 US dollars per day (based on PPP),,Rural,Kostanay,,13.7
2011,Percent,5.5 US dollars per day (based on PPP),,Rural,Kyzylorda,,16.6
2012,Percent,5.5 US dollars per day (based on PPP),,Rural,Kyzylorda,,13.0
2013,Percent,5.5 US dollars per day (based on PPP),,Rural,Kyzylorda,,10.1
2014,Percent,5.5 US dollars per day (based on PPP),,Rural,Kyzylorda,,12.0
2015,Percent,5.5 US dollars per day (based on PPP),,Rural,Kyzylorda,,25.7
2016,Percent,5.5 US dollars per day (based on PPP),,Rural,Kyzylorda,,19.4
2017,Percent,5.5 US dollars per day (based on PPP),,Rural,Kyzylorda,,16.6
2018,Percent,5.5 US dollars per day (based on PPP),,Rural,Kyzylorda,,12.7
2011,Percent,5.5 US dollars per day (based on PPP),,Rural,Mangistau,,7.3
2012,Percent,5.5 US dollars per day (based on PPP),,Rural,Mangistau,,6.7
2013,Percent,5.5 US dollars per day (based on PPP),,Rural,Mangistau,,4.7
2014,Percent,5.5 US dollars per day (based on PPP),,Rural,Mangistau,,5.3
2015,Percent,5.5 US dollars per day (based on PPP),,Rural,Mangistau,,6.1
2016,Percent,5.5 US dollars per day (based on PPP),,Rural,Mangistau,,4.4
2017,Percent,5.5 US dollars per day (based on PPP),,Rural,Mangistau,,4.9
2018,Percent,5.5 US dollars per day (based on PPP),,Rural,Mangistau,,6.1
2011,Percent,5.5 US dollars per day (based on PPP),,Rural,Ontustik Kazakhstan,,40.4
2012,Percent,5.5 US dollars per day (based on PPP),,Rural,Ontustik Kazakhstan,,49.0
2011,Percent,5.5 US dollars per day (based on PPP),,Rural,Pavlodar,,26.3
2012,Percent,5.5 US dollars per day (based on PPP),,Rural,Pavlodar,,23.7
2013,Percent,5.5 US dollars per day (based on PPP),,Rural,Pavlodar,,12.1
2014,Percent,5.5 US dollars per day (based on PPP),,Rural,Pavlodar,,10.5
2015,Percent,5.5 US dollars per day (based on PPP),,Rural,Pavlodar,,9.6
2016,Percent,5.5 US dollars per day (based on PPP),,Rural,Pavlodar,,11.4
2017,Percent,5.5 US dollars per day (based on PPP),,Rural,Pavlodar,,9.2
2018,Percent,5.5 US dollars per day (based on PPP),,Rural,Pavlodar,,11.6
2011,Percent,5.5 US dollars per day (based on PPP),,Rural,Soltustik Kazakhstan,,27.5
2012,Percent,5.5 US dollars per day (based on PPP),,Rural,Soltustik Kazakhstan,,23.4
2013,Percent,5.5 US dollars per day (based on PPP),,Rural,Soltustik Kazakhstan,,21.1
2014,Percent,5.5 US dollars per day (based on PPP),,Rural,Soltustik Kazakhstan,,18.7
2015,Percent,5.5 US dollars per day (based on PPP),,Rural,Soltustik Kazakhstan,,17.8
2016,Percent,5.5 US dollars per day (based on PPP),,Rural,Soltustik Kazakhstan,,13.6
2017,Percent,5.5 US dollars per day (based on PPP),,Rural,Soltustik Kazakhstan,,10.8
2018,Percent,5.5 US dollars per day (based on PPP),,Rural,Soltustik Kazakhstan,,9.3
2013,Percent,5.5 US dollars per day (based on PPP),,Rural,Turkistan,,39.0
2014,Percent,5.5 US dollars per day (based on PPP),,Rural,Turkistan,,35.4
2015,Percent,5.5 US dollars per day (based on PPP),,Rural,Turkistan,,34.9
2016,Percent,5.5 US dollars per day (based on PPP),,Rural,Turkistan,,34.8
2017,Percent,5.5 US dollars per day (based on PPP),,Rural,Turkistan,,28.6
2018,Percent,5.5 US dollars per day (based on PPP),,Rural,Turkistan,,20.6
2011,Percent,5.5 US dollars per day (based on PPP),,Rural,Shygys Kazakhstan,,26.5
2012,Percent,5.5 US dollars per day (based on PPP),,Rural,Shygys Kazakhstan,,18.9
2013,Percent,5.5 US dollars per day (based on PPP),,Rural,Shygys Kazakhstan,,14.2
2014,Percent,5.5 US dollars per day (based on PPP),,Rural,Shygys Kazakhstan,,12.1
2015,Percent,5.5 US dollars per day (based on PPP),,Rural,Shygys Kazakhstan,,18.9
2016,Percent,5.5 US dollars per day (based on PPP),,Rural,Shygys Kazakhstan,,14.6
2017,Percent,5.5 US dollars per day (based on PPP),,Rural,Shygys Kazakhstan,,13.5
2018,Percent,5.5 US dollars per day (based on PPP),,Rural,Shygys Kazakhstan,,12.6
