Year,Units,Area,Sex,Regions,Value
2012,Percent,countryside,Male,Shygys Kazakhstan,21.5
2013,Percent,countryside,Male,Shygys Kazakhstan,33.5
2014,Percent,countryside,Male,Shygys Kazakhstan,35.8
2015,Percent,countryside,Male,Shygys Kazakhstan,44.4
2016,Percent,countryside,Male,Shygys Kazakhstan,43.7
2017,Percent,countryside,Male,Shygys Kazakhstan,42.6
2018,Percent,countryside,Male,Shygys Kazakhstan,45.5
2010,Percent,countryside,Female,,20.5
2011,Percent,countryside,Female,,21.4
2012,Percent,countryside,Female,,25.8
2013,Percent,countryside,Female,,25.1
2014,Percent,countryside,Female,,31.6
2015,Percent,countryside,Female,,31.9
2016,Percent,countryside,Female,,33.4
2017,Percent,countryside,Female,,35.2
2018,Percent,countryside,Female,,40.8
2010,Percent,countryside,Female,Akmola,25.9
2011,Percent,countryside,Female,Akmola,27.0
2012,Percent,countryside,Female,Akmola,26.7
2013,Percent,countryside,Female,Akmola,23.3
2014,Percent,countryside,Female,Akmola,30.5
2015,Percent,countryside,Female,Akmola,38.8
2016,Percent,countryside,Female,Akmola,37.6
2017,Percent,countryside,Female,Akmola,38.1
2018,Percent,countryside,Female,Akmola,40.8
2010,Percent,countryside,Female,Aktobe,28.5
2011,Percent,countryside,Female,Aktobe,34.8
2012,Percent,countryside,Female,Aktobe,46.5
2013,Percent,countryside,Female,Aktobe,46.3
2014,Percent,countryside,Female,Aktobe,43.3
2015,Percent,countryside,Female,Aktobe,42.6
2016,Percent,countryside,Female,Aktobe,44.8
2017,Percent,countryside,Female,Aktobe,47.2
2018,Percent,countryside,Female,Aktobe,41.1
2010,Percent,countryside,Female,Almaty,15.7
2011,Percent,countryside,Female,Almaty,17.6
2012,Percent,countryside,Female,Almaty,27.6
2013,Percent,countryside,Female,Almaty,18.0
2014,Percent,countryside,Female,Almaty,29.8
2015,Percent,countryside,Female,Almaty,25.6
2016,Percent,countryside,Female,Almaty,27.6
2017,Percent,countryside,Female,Almaty,26.8
2018,Percent,countryside,Female,Almaty,38.3
2010,Percent,countryside,Female,Atyrau,34.7
2011,Percent,countryside,Female,Atyrau,33.3
2012,Percent,countryside,Female,Atyrau,25.2
2013,Percent,countryside,Female,Atyrau,25.3
2014,Percent,countryside,Female,Atyrau,28.4
2015,Percent,countryside,Female,Atyrau,29.0
2016,Percent,countryside,Female,Atyrau,24.9
2017,Percent,countryside,Female,Atyrau,32.5
2018,Percent,countryside,Female,Atyrau,31.4
2010,Percent,countryside,Female,Batys Kazakhstan,26.3
2011,Percent,countryside,Female,Batys Kazakhstan,30.2
2012,Percent,countryside,Female,Batys Kazakhstan,42.6
2013,Percent,countryside,Female,Batys Kazakhstan,46.9
2014,Percent,countryside,Female,Batys Kazakhstan,35.3
2015,Percent,countryside,Female,Batys Kazakhstan,34.7
2016,Percent,countryside,Female,Batys Kazakhstan,37.6
2017,Percent,countryside,Female,Batys Kazakhstan,52.3
2018,Percent,countryside,Female,Batys Kazakhstan,55.5
2010,Percent,countryside,Female,Zhambyl,12.5
2011,Percent,countryside,Female,Zhambyl,15.6
2012,Percent,countryside,Female,Zhambyl,26.5
2013,Percent,countryside,Female,Zhambyl,38.5
2014,Percent,countryside,Female,Zhambyl,25.6
2015,Percent,countryside,Female,Zhambyl,24.5
2016,Percent,countryside,Female,Zhambyl,29.5
2017,Percent,countryside,Female,Zhambyl,21.8
2018,Percent,countryside,Female,Zhambyl,27.5
2010,Percent,countryside,Female,Karagandy,20.4
2011,Percent,countryside,Female,Karagandy,24.2
2012,Percent,countryside,Female,Karagandy,27.8
2013,Percent,countryside,Female,Karagandy,21.6
2014,Percent,countryside,Female,Karagandy,41.1
2015,Percent,countryside,Female,Karagandy,44.0
2016,Percent,countryside,Female,Karagandy,41.3
2017,Percent,countryside,Female,Karagandy,42.4
2018,Percent,countryside,Female,Karagandy,48.0
2010,Percent,countryside,Female,Kostanay,27.4
2011,Percent,countryside,Female,Kostanay,31.2
2012,Percent,countryside,Female,Kostanay,33.4
2013,Percent,countryside,Female,Kostanay,31.5
2014,Percent,countryside,Female,Kostanay,34.5
2015,Percent,countryside,Female,Kostanay,39.6
2016,Percent,countryside,Female,Kostanay,39.9
2017,Percent,countryside,Female,Kostanay,39.6
2018,Percent,countryside,Female,Kostanay,43.5
2010,Percent,countryside,Female,Kyzylorda,26.8
2011,Percent,countryside,Female,Kyzylorda,29.4
2012,Percent,countryside,Female,Kyzylorda,28.7
2013,Percent,countryside,Female,Kyzylorda,25.5
2014,Percent,countryside,Female,Kyzylorda,37.5
2015,Percent,countryside,Female,Kyzylorda,41.3
2016,Percent,countryside,Female,Kyzylorda,38.7
2017,Percent,countryside,Female,Kyzylorda,42.3
2018,Percent,countryside,Female,Kyzylorda,44.0
2010,Percent,countryside,Female,Mangistau,41.3
2011,Percent,countryside,Female,Mangistau,30.3
2012,Percent,countryside,Female,Mangistau,19.7
2013,Percent,countryside,Female,Mangistau,44.8
2014,Percent,countryside,Female,Mangistau,43.2
2015,Percent,countryside,Female,Mangistau,57.5
2016,Percent,countryside,Female,Mangistau,61.2
2017,Percent,countryside,Female,Mangistau,69.6
2018,Percent,countryside,Female,Mangistau,69.3
2010,Percent,countryside,Female,Ontustik Kazakhstan,7.9
2011,Percent,countryside,Female,Ontustik Kazakhstan,9.1
2012,Percent,countryside,Female,Ontustik Kazakhstan,14.7
2013,Percent,countryside,Female,Ontustik Kazakhstan,10.0
2014,Percent,countryside,Female,Ontustik Kazakhstan,26.5
2015,Percent,countryside,Female,Ontustik Kazakhstan,26.2
2016,Percent,countryside,Female,Ontustik Kazakhstan,28.0
2017,Percent,countryside,Female,Ontustik Kazakhstan,32.0
2010,Percent,countryside,Female,Pavlodar,39.7
2011,Percent,countryside,Female,Pavlodar,24.0
2012,Percent,countryside,Female,Pavlodar,28.4
2013,Percent,countryside,Female,Pavlodar,37.9
2014,Percent,countryside,Female,Pavlodar,37.9
2015,Percent,countryside,Female,Pavlodar,39.7
2016,Percent,countryside,Female,Pavlodar,41.1
2017,Percent,countryside,Female,Pavlodar,49.8
2018,Percent,countryside,Female,Pavlodar,52.8
2010,Percent,countryside,Female,Soltustik Kazakhstan,28.4
2011,Percent,countryside,Female,Soltustik Kazakhstan,24.5
2012,Percent,countryside,Female,Soltustik Kazakhstan,16.7
2013,Percent,countryside,Female,Soltustik Kazakhstan,21.3
2014,Percent,countryside,Female,Soltustik Kazakhstan,37.7
2015,Percent,countryside,Female,Soltustik Kazakhstan,35.3
2016,Percent,countryside,Female,Soltustik Kazakhstan,37.4
2017,Percent,countryside,Female,Soltustik Kazakhstan,40.0
2018,Percent,countryside,Female,Soltustik Kazakhstan,45.3
2018,Percent,countryside,Female,Turkistan,33.0
2010,Percent,countryside,Female,Shygys Kazakhstan,23.4
2011,Percent,countryside,Female,Shygys Kazakhstan,26.0
2012,Percent,countryside,Female,Shygys Kazakhstan,29.3
2013,Percent,countryside,Female,Shygys Kazakhstan,27.5
2014,Percent,countryside,Female,Shygys Kazakhstan,39.3
2015,Percent,countryside,Female,Shygys Kazakhstan,37.7
2016,Percent,countryside,Female,Shygys Kazakhstan,41.8
2017,Percent,countryside,Female,Shygys Kazakhstan,39.4
2018,Percent,countryside,Female,Shygys Kazakhstan,48.3
