Year,Units,Жынысы,Өңірлер,Аймақ,GeoCode,Value
2010,1000 туылғанға,ұлдар,,сельское население,,22.2
2011,1000 туылғанға,ұлдар,,сельское население,,19.85
2012,1000 туылғанға,ұлдар,,сельское население,,19.18
2013,1000 туылғанға,ұлдар,,сельское население,,16.93
2014,1000 туылғанға,ұлдар,,сельское население,,14.28
2015,1000 туылғанға,ұлдар,,сельское население,,13.81
2016,1000 туылғанға,ұлдар,,сельское население,,12.73
2017,1000 туылғанға,ұлдар,,сельское население,,13.05
2018,1000 туылғанға,ұлдар,,сельское население,,12.44
2010,1000 туылғанға,ұлдар,Ақмола,сельское население,,20.22
2011,1000 туылғанға,ұлдар,Ақмола,сельское население,,18.15
2012,1000 туылғанға,ұлдар,Ақмола,сельское население,,12.1
2013,1000 туылғанға,ұлдар,Ақмола,сельское население,,17.78
2014,1000 туылғанға,ұлдар,Ақмола,сельское население,,14.6
2015,1000 туылғанға,ұлдар,Ақмола,сельское население,,9.56
2016,1000 туылғанға,ұлдар,Ақмола,сельское население,,10.06
2017,1000 туылғанға,ұлдар,Ақмола,сельское население,,14.26
2018,1000 туылғанға,ұлдар,Ақмола,сельское население,,8.6
2010,1000 туылғанға,ұлдар,Ақтөбе,сельское население,,22.28
2011,1000 туылғанға,ұлдар,Ақтөбе,сельское население,,18.43
2012,1000 туылғанға,ұлдар,Ақтөбе,сельское население,,14.06
2013,1000 туылғанға,ұлдар,Ақтөбе,сельское население,,17.37
2014,1000 туылғанға,ұлдар,Ақтөбе,сельское население,,11.97
2015,1000 туылғанға,ұлдар,Ақтөбе,сельское население,,16.05
2016,1000 туылғанға,ұлдар,Ақтөбе,сельское население,,12.4
2017,1000 туылғанға,ұлдар,Ақтөбе,сельское население,,10.57
2018,1000 туылғанға,ұлдар,Ақтөбе,сельское население,,11.89
2010,1000 туылғанға,ұлдар,Алматы,сельское население,,15.91
2011,1000 туылғанға,ұлдар,Алматы,сельское население,,16.84
2012,1000 туылғанға,ұлдар,Алматы,сельское население,,17.99
2013,1000 туылғанға,ұлдар,Алматы,сельское население,,14.03
2014,1000 туылғанға,ұлдар,Алматы,сельское население,,13.12
2015,1000 туылғанға,ұлдар,Алматы,сельское население,,12.54
2016,1000 туылғанға,ұлдар,Алматы,сельское население,,9.88
2017,1000 туылғанға,ұлдар,Алматы,сельское население,,11.83
2018,1000 туылғанға,ұлдар,Алматы,сельское население,,10.96
2010,1000 туылғанға,ұлдар,Атырау,сельское население,,24.27
2011,1000 туылғанға,ұлдар,Атырау,сельское население,,22.3
2012,1000 туылғанға,ұлдар,Атырау,сельское население,,18.42
2013,1000 туылғанға,ұлдар,Атырау,сельское население,,13.69
2014,1000 туылғанға,ұлдар,Атырау,сельское население,,13.66
2015,1000 туылғанға,ұлдар,Атырау,сельское население,,8.09
2016,1000 туылғанға,ұлдар,Атырау,сельское население,,11.83
2017,1000 туылғанға,ұлдар,Атырау,сельское население,,10.52
2018,1000 туылғанға,ұлдар,Атырау,сельское население,,19.14
2010,1000 туылғанға,ұлдар,Батыс Қазақстан,сельское население,,24.47
2011,1000 туылғанға,ұлдар,Батыс Қазақстан,сельское население,,18.62
2012,1000 туылғанға,ұлдар,Батыс Қазақстан,сельское население,,19.38
2013,1000 туылғанға,ұлдар,Батыс Қазақстан,сельское население,,12.74
2014,1000 туылғанға,ұлдар,Батыс Қазақстан,сельское население,,13.19
2015,1000 туылғанға,ұлдар,Батыс Қазақстан,сельское население,,10.96
2016,1000 туылғанға,ұлдар,Батыс Қазақстан,сельское население,,11.23
2017,1000 туылғанға,ұлдар,Батыс Қазақстан,сельское население,,10.28
2018,1000 туылғанға,ұлдар,Батыс Қазақстан,сельское население,,9.18
2010,1000 туылғанға,ұлдар,Жамбыл,сельское население,,23.51
2011,1000 туылғанға,ұлдар,Жамбыл,сельское население,,18.69
2012,1000 туылғанға,ұлдар,Жамбыл,сельское население,,21.7
2013,1000 туылғанға,ұлдар,Жамбыл,сельское население,,15.04
2014,1000 туылғанға,ұлдар,Жамбыл,сельское население,,11.34
2015,1000 туылғанға,ұлдар,Жамбыл,сельское население,,11.9
2016,1000 туылғанға,ұлдар,Жамбыл,сельское население,,10.25
2017,1000 туылғанға,ұлдар,Жамбыл,сельское население,,11.49
2018,1000 туылғанға,ұлдар,Жамбыл,сельское население,,10.43
2010,1000 туылғанға,ұлдар,Қарағанды,сельское население,,16.06
2011,1000 туылғанға,ұлдар,Қарағанды,сельское население,,18.48
2012,1000 туылғанға,ұлдар,Қарағанды,сельское население,,15.46
2013,1000 туылғанға,ұлдар,Қарағанды,сельское население,,18.95
2014,1000 туылғанға,ұлдар,Қарағанды,сельское население,,17.16
2015,1000 туылғанға,ұлдар,Қарағанды,сельское население,,13.85
2016,1000 туылғанға,ұлдар,Қарағанды,сельское население,,11.89
2017,1000 туылғанға,ұлдар,Қарағанды,сельское население,,8.46
2018,1000 туылғанға,ұлдар,Қарағанды,сельское население,,10.94
2010,1000 туылғанға,ұлдар,Қостанай,сельское население,,23.58
2011,1000 туылғанға,ұлдар,Қостанай,сельское население,,20.82
2012,1000 туылғанға,ұлдар,Қостанай,сельское население,,22.29
2013,1000 туылғанға,ұлдар,Қостанай,сельское население,,16.55
2014,1000 туылғанға,ұлдар,Қостанай,сельское население,,16.99
2015,1000 туылғанға,ұлдар,Қостанай,сельское население,,11.57
2016,1000 туылғанға,ұлдар,Қостанай,сельское население,,13.29
2017,1000 туылғанға,ұлдар,Қостанай,сельское население,,18.23
2018,1000 туылғанға,ұлдар,Қостанай,сельское население,,13.97
2010,1000 туылғанға,ұлдар,Қызылорда,сельское население,,27.69
2011,1000 туылғанға,ұлдар,Қызылорда,сельское население,,30.28
2012,1000 туылғанға,ұлдар,Қызылорда,сельское население,,29.71
2013,1000 туылғанға,ұлдар,Қызылорда,сельское население,,24.54
2014,1000 туылғанға,ұлдар,Қызылорда,сельское население,,18.32
2015,1000 туылғанға,ұлдар,Қызылорда,сельское население,,14.42
2016,1000 туылғанға,ұлдар,Қызылорда,сельское население,,11.72
2017,1000 туылғанға,ұлдар,Қызылорда,сельское население,,14.11
2018,1000 туылғанға,ұлдар,Қызылорда,сельское население,,13.05
2010,1000 туылғанға,ұлдар,Маңғыстау,сельское население,,21.37
2011,1000 туылғанға,ұлдар,Маңғыстау,сельское население,,20.84
2012,1000 туылғанға,ұлдар,Маңғыстау,сельское население,,18.94
2013,1000 туылғанға,ұлдар,Маңғыстау,сельское население,,14.37
2014,1000 туылғанға,ұлдар,Маңғыстау,сельское население,,13.01
2015,1000 туылғанға,ұлдар,Маңғыстау,сельское население,,17.31
2016,1000 туылғанға,ұлдар,Маңғыстау,сельское население,,12.01
2017,1000 туылғанға,ұлдар,Маңғыстау,сельское население,,14.35
2018,1000 туылғанға,ұлдар,Маңғыстау,сельское население,,13.62
2010,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,сельское население,,24.66
2011,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,сельское население,,19.23
2012,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,сельское население,,19.07
2013,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,сельское население,,19.23
2014,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,сельское население,,15.75
2015,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,сельское население,,16.78
2016,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,сельское население,,17.17
2017,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,сельское население,,15.64
2010,1000 туылғанға,ұлдар,Павлодар,сельское население,,19.8
2011,1000 туылғанға,ұлдар,Павлодар,сельское население,,15.73
2012,1000 туылғанға,ұлдар,Павлодар,сельское население,,12.91
2013,1000 туылғанға,ұлдар,Павлодар,сельское население,,15.44
2014,1000 туылғанға,ұлдар,Павлодар,сельское население,,14.83
2015,1000 туылғанға,ұлдар,Павлодар,сельское население,,12.44
2016,1000 туылғанға,ұлдар,Павлодар,сельское население,,12.4
2017,1000 туылғанға,ұлдар,Павлодар,сельское население,,11.35
2018,1000 туылғанға,ұлдар,Павлодар,сельское население,,6.63
2010,1000 туылғанға,ұлдар,Солтүстік Қазақстан,сельское население,,19.08
2011,1000 туылғанға,ұлдар,Солтүстік Қазақстан,сельское население,,18.01
2012,1000 туылғанға,ұлдар,Солтүстік Қазақстан,сельское население,,16.2
2013,1000 туылғанға,ұлдар,Солтүстік Қазақстан,сельское население,,12.61
2014,1000 туылғанға,ұлдар,Солтүстік Қазақстан,сельское население,,14.69
2015,1000 туылғанға,ұлдар,Солтүстік Қазақстан,сельское население,,10.3
2016,1000 туылғанға,ұлдар,Солтүстік Қазақстан,сельское население,,13.97
2017,1000 туылғанға,ұлдар,Солтүстік Қазақстан,сельское население,,12.83
2018,1000 туылғанға,ұлдар,Солтүстік Қазақстан,сельское население,,17.64
2018,1000 туылғанға,ұлдар,Түркістан,сельское население,,14.31
2010,1000 туылғанға,ұлдар,Шығыс Қазақстан,сельское население,,27.1
2011,1000 туылғанға,ұлдар,Шығыс Қазақстан,сельское население,,26.93
2012,1000 туылғанға,ұлдар,Шығыс Қазақстан,сельское население,,20.82
2013,1000 туылғанға,ұлдар,Шығыс Қазақстан,сельское население,,20.38
2014,1000 туылғанға,ұлдар,Шығыс Қазақстан,сельское население,,13.41
2015,1000 туылғанға,ұлдар,Шығыс Қазақстан,сельское население,,14.98
2016,1000 туылғанға,ұлдар,Шығыс Қазақстан,сельское население,,14.12
2017,1000 туылғанға,ұлдар,Шығыс Қазақстан,сельское население,,11.64
2018,1000 туылғанға,ұлдар,Шығыс Қазақстан,сельское население,,10.44
2010,1000 туылғанға,қыздар,,,,17.21
2011,1000 туылғанға,қыздар,,,,15.82
2012,1000 туылғанға,қыздар,,,,14.42
2013,1000 туылғанға,қыздар,,,,12.38
2014,1000 туылғанға,қыздар,,,,11.06
2015,1000 туылғанға,қыздар,,,,10.64
2016,1000 туылғанға,қыздар,,,,9.45
2017,1000 туылғанға,қыздар,,,,9.17
2018,1000 туылғанға,қыздар,,,,8.48
2010,1000 туылғанға,қыздар,Ақмола,,,13.86
2011,1000 туылғанға,қыздар,Ақмола,,,15.49
2012,1000 туылғанға,қыздар,Ақмола,,,12.65
2013,1000 туылғанға,қыздар,Ақмола,,,12.04
2014,1000 туылғанға,қыздар,Ақмола,,,10.24
2015,1000 туылғанға,қыздар,Ақмола,,,9.6
2016,1000 туылғанға,қыздар,Ақмола,,,8.94
2017,1000 туылғанға,қыздар,Ақмола,,,9.58
2018,1000 туылғанға,қыздар,Ақмола,,,6.79
2010,1000 туылғанға,қыздар,Ақтөбе,,,16.45
2011,1000 туылғанға,қыздар,Ақтөбе,,,11.58
2012,1000 туылғанға,қыздар,Ақтөбе,,,15.74
2013,1000 туылғанға,қыздар,Ақтөбе,,,11.59
2014,1000 туылғанға,қыздар,Ақтөбе,,,11.43
2015,1000 туылғанға,қыздар,Ақтөбе,,,10.64
2016,1000 туылғанға,қыздар,Ақтөбе,,,8.14
2017,1000 туылғанға,қыздар,Ақтөбе,,,9.83
2018,1000 туылғанға,қыздар,Ақтөбе,,,9.33
2010,1000 туылғанға,қыздар,Алматы,,,14.6
2011,1000 туылғанға,қыздар,Алматы,,,12.76
2012,1000 туылғанға,қыздар,Алматы,,,11.51
2013,1000 туылғанға,қыздар,Алматы,,,10.03
2014,1000 туылғанға,қыздар,Алматы,,,10.22
2015,1000 туылғанға,қыздар,Алматы,,,8.87
2016,1000 туылғанға,қыздар,Алматы,,,8.57
2017,1000 туылғанға,қыздар,Алматы,,,9.14
2018,1000 туылғанға,қыздар,Алматы,,,8.17
2010,1000 туылғанға,қыздар,Атырау,,,18.84
2011,1000 туылғанға,қыздар,Атырау,,,16.83
2012,1000 туылғанға,қыздар,Атырау,,,18.38
2013,1000 туылғанға,қыздар,Атырау,,,11.11
2014,1000 туылғанға,қыздар,Атырау,,,10.88
2015,1000 туылғанға,қыздар,Атырау,,,9.91
2016,1000 туылғанға,қыздар,Атырау,,,11.1
2017,1000 туылғанға,қыздар,Атырау,,,9.67
2018,1000 туылғанға,қыздар,Атырау,,,10.47
2010,1000 туылғанға,қыздар,Батыс Қазақстан,,,16.38
2011,1000 туылғанға,қыздар,Батыс Қазақстан,,,13.93
2012,1000 туылғанға,қыздар,Батыс Қазақстан,,,8.51
2013,1000 туылғанға,қыздар,Батыс Қазақстан,,,7.62
2014,1000 туылғанға,қыздар,Батыс Қазақстан,,,9.66
2015,1000 туылғанға,қыздар,Батыс Қазақстан,,,10.5
2016,1000 туылғанға,қыздар,Батыс Қазақстан,,,7.83
2017,1000 туылғанға,қыздар,Батыс Қазақстан,,,8.34
2018,1000 туылғанға,қыздар,Батыс Қазақстан,,,5.83
2010,1000 туылғанға,қыздар,Жамбыл,,,17.54
2011,1000 туылғанға,қыздар,Жамбыл,,,17.36
2012,1000 туылғанға,қыздар,Жамбыл,,,14.4
2013,1000 туылғанға,қыздар,Жамбыл,,,15.86
2014,1000 туылғанға,қыздар,Жамбыл,,,12.5
2015,1000 туылғанға,қыздар,Жамбыл,,,12.37
2016,1000 туылғанға,қыздар,Жамбыл,,,10.47
2017,1000 туылғанға,қыздар,Жамбыл,,,9.28
2018,1000 туылғанға,қыздар,Жамбыл,,,8.52
2010,1000 туылғанға,қыздар,Қарағанды,,,14.99
2011,1000 туылғанға,қыздар,Қарағанды,,,10.91
2012,1000 туылғанға,қыздар,Қарағанды,,,12.78
2013,1000 туылғанға,қыздар,Қарағанды,,,10.48
2014,1000 туылғанға,қыздар,Қарағанды,,,8.92
2015,1000 туылғанға,қыздар,Қарағанды,,,9.32
2016,1000 туылғанға,қыздар,Қарағанды,,,8.48
2017,1000 туылғанға,қыздар,Қарағанды,,,8.64
2018,1000 туылғанға,қыздар,Қарағанды,,,7.11
2010,1000 туылғанға,қыздар,Қостанай,,,13.15
2011,1000 туылғанға,қыздар,Қостанай,,,13.71
2012,1000 туылғанға,қыздар,Қостанай,,,13.91
2013,1000 туылғанға,қыздар,Қостанай,,,11.21
2014,1000 туылғанға,қыздар,Қостанай,,,13.15
2015,1000 туылғанға,қыздар,Қостанай,,,11.66
2016,1000 туылғанға,қыздар,Қостанай,,,11.01
2017,1000 туылғанға,қыздар,Қостанай,,,10.14
2018,1000 туылғанға,қыздар,Қостанай,,,8.97
2010,1000 туылғанға,қыздар,Қызылорда,,,24.78
2011,1000 туылғанға,қыздар,Қызылорда,,,20.24
2012,1000 туылғанға,қыздар,Қызылорда,,,20.87
2013,1000 туылғанға,қыздар,Қызылорда,,,18.51
2014,1000 туылғанға,қыздар,Қызылорда,,,15.43
2015,1000 туылғанға,қыздар,Қызылорда,,,13.63
2016,1000 туылғанға,қыздар,Қызылорда,,,12.19
2017,1000 туылғанға,қыздар,Қызылорда,,,10.05
2018,1000 туылғанға,қыздар,Қызылорда,,,10.46
2010,1000 туылғанға,қыздар,Маңғыстау,,,21.69
2011,1000 туылғанға,қыздар,Маңғыстау,,,18.75
2012,1000 туылғанға,қыздар,Маңғыстау,,,14.94
2013,1000 туылғанға,қыздар,Маңғыстау,,,10.52
2014,1000 туылғанға,қыздар,Маңғыстау,,,9.09
2015,1000 туылғанға,қыздар,Маңғыстау,,,9.89
2016,1000 туылғанға,қыздар,Маңғыстау,,,10.56
2017,1000 туылғанға,қыздар,Маңғыстау,,,8.8
2018,1000 туылғанға,қыздар,Маңғыстау,,,11.33
2010,1000 туылғанға,қыздар,Оңтүстік Қазақстан,,,19.69
2011,1000 туылғанға,қыздар,Оңтүстік Қазақстан,,,18.67
2012,1000 туылғанға,қыздар,Оңтүстік Қазақстан,,,16.67
2013,1000 туылғанға,қыздар,Оңтүстік Қазақстан,,,15.35
2014,1000 туылғанға,қыздар,Оңтүстік Қазақстан,,,13.23
2015,1000 туылғанға,қыздар,Оңтүстік Қазақстан,,,12.95
2016,1000 туылғанға,қыздар,Оңтүстік Қазақстан,,,10.91
2017,1000 туылғанға,қыздар,Оңтүстік Қазақстан,,,10.57
2018,1000 туылғанға,қыздар,Оңтүстік Қазақстан,,,8.87
2010,1000 туылғанға,қыздар,Павлодар,,,13.24
2011,1000 туылғанға,қыздар,Павлодар,,,14.67
2012,1000 туылғанға,қыздар,Павлодар,,,9.6
2013,1000 туылғанға,қыздар,Павлодар,,,8.62
2014,1000 туылғанға,қыздар,Павлодар,,,9.62
2015,1000 туылғанға,қыздар,Павлодар,,,7.82
2016,1000 туылғанға,қыздар,Павлодар,,,8.09
2017,1000 туылғанға,қыздар,Павлодар,,,8.31
2018,1000 туылғанға,қыздар,Павлодар,,,6.36
2010,1000 туылғанға,қыздар,Солтүстік Қазақстан,,,15.26
2011,1000 туылғанға,қыздар,Солтүстік Қазақстан,,,11.5
2012,1000 туылғанға,қыздар,Солтүстік Қазақстан,,,11.51
2013,1000 туылғанға,қыздар,Солтүстік Қазақстан,,,13.41
2014,1000 туылғанға,қыздар,Солтүстік Қазақстан,,,9.76
2015,1000 туылғанға,қыздар,Солтүстік Қазақстан,,,10.04
2016,1000 туылғанға,қыздар,Солтүстік Қазақстан,,,6.41
2017,1000 туылғанға,қыздар,Солтүстік Қазақстан,,,11.49
2018,1000 туылғанға,қыздар,Солтүстік Қазақстан,,,9.76
2018,1000 туылғанға,қыздар,Түркістан,,,9.26
2010,1000 туылғанға,қыздар,Шығыс Қазақстан,,,19.77
2011,1000 туылғанға,қыздар,Шығыс Қазақстан,,,17.73
2012,1000 туылғанға,қыздар,Шығыс Қазақстан,,,16.55
2013,1000 туылғанға,қыздар,Шығыс Қазақстан,,,13.02
2014,1000 туылғанға,қыздар,Шығыс Қазақстан,,,12.52
2015,1000 туылғанға,қыздар,Шығыс Қазақстан,,,11.0
2016,1000 туылғанға,қыздар,Шығыс Қазақстан,,,10.29
2017,1000 туылғанға,қыздар,Шығыс Қазақстан,,,8.1
2018,1000 туылғанға,қыздар,Шығыс Қазақстан,,,9.24
2010,1000 туылғанға,қыздар,Нұр-Сұлтан қаласы,,,10.75
2011,1000 туылғанға,қыздар,Нұр-Сұлтан қаласы,,,12.51
2012,1000 туылғанға,қыздар,Нұр-Сұлтан қаласы,,,12.13
2013,1000 туылғанға,қыздар,Нұр-Сұлтан қаласы,,,10.56
2014,1000 туылғанға,қыздар,Нұр-Сұлтан қаласы,,,7.0
2015,1000 туылғанға,қыздар,Нұр-Сұлтан қаласы,,,7.8
2016,1000 туылғанға,қыздар,Нұр-Сұлтан қаласы,,,7.46
2017,1000 туылғанға,қыздар,Нұр-Сұлтан қаласы,,,6.27
2018,1000 туылғанға,қыздар,Нұр-Сұлтан қаласы,,,5.71
2010,1000 туылғанға,қыздар,Алматы қаласы,,,15.71
2011,1000 туылғанға,қыздар,Алматы қаласы,,,17.27
2012,1000 туылғанға,қыздар,Алматы қаласы,,,13.03
2013,1000 туылғанға,қыздар,Алматы қаласы,,,9.43
2014,1000 туылғанға,қыздар,Алматы қаласы,,,8.06
2015,1000 туылғанға,қыздар,Алматы қаласы,,,9.36
2016,1000 туылғанға,қыздар,Алматы қаласы,,,7.29
2017,1000 туылғанға,қыздар,Алматы қаласы,,,7.9
2018,1000 туылғанға,қыздар,Алматы қаласы,,,8.5
2018,1000 туылғанға,қыздар,Шымкент қаласы,,,8.06
2010,1000 туылғанға,қыздар,,городское население,,16.68
2011,1000 туылғанға,қыздар,,городское население,,15.41
2012,1000 туылғанға,қыздар,,городское население,,14.02
2013,1000 туылғанға,қыздар,,городское население,,12.22
2014,1000 туылғанға,қыздар,,городское население,,10.81
2015,1000 туылғанға,қыздар,,городское население,,10.48
2016,1000 туылғанға,қыздар,,городское население,,8.64
2017,1000 туылғанға,қыздар,,городское население,,8.7
2018,1000 туылғанға,қыздар,,городское население,,7.93
2010,1000 туылғанға,қыздар,Ақмола,городское население,,13.37
2011,1000 туылғанға,қыздар,Ақмола,городское население,,16.82
2012,1000 туылғанға,қыздар,Ақмола,городское население,,13.55
2013,1000 туылғанға,қыздар,Ақмола,городское население,,15.05
2014,1000 туылғанға,қыздар,Ақмола,городское население,,10.03
2015,1000 туылғанға,қыздар,Ақмола,городское население,,10.15
2016,1000 туылғанға,қыздар,Ақмола,городское население,,7.38
2017,1000 туылғанға,қыздар,Ақмола,городское население,,9.84
2018,1000 туылғанға,қыздар,Ақмола,городское население,,7.47
2010,1000 туылғанға,қыздар,Ақтөбе,городское население,,15.82
2011,1000 туылғанға,қыздар,Ақтөбе,городское население,,9.95
2012,1000 туылғанға,қыздар,Ақтөбе,городское население,,16.71
2013,1000 туылғанға,қыздар,Ақтөбе,городское население,,12.15
2014,1000 туылғанға,қыздар,Ақтөбе,городское население,,12.32
2015,1000 туылғанға,қыздар,Ақтөбе,городское население,,11.16
2016,1000 туылғанға,қыздар,Ақтөбе,городское население,,6.95
2017,1000 туылғанға,қыздар,Ақтөбе,городское население,,8.16
2018,1000 туылғанға,қыздар,Ақтөбе,городское население,,8.54
2010,1000 туылғанға,қыздар,Алматы,городское население,,15.12
2011,1000 туылғанға,қыздар,Алматы,городское население,,13.15
2012,1000 туылғанға,қыздар,Алматы,городское население,,11.81
2013,1000 туылғанға,қыздар,Алматы,городское население,,9.98
2014,1000 туылғанға,қыздар,Алматы,городское население,,10.93
2015,1000 туылғанға,қыздар,Алматы,городское население,,9.7
2016,1000 туылғанға,қыздар,Алматы,городское население,,8.45
2017,1000 туылғанға,қыздар,Алматы,городское население,,7.76
2018,1000 туылғанға,қыздар,Алматы,городское население,,7.52
2010,1000 туылғанға,қыздар,Атырау,городское население,,18.0
2011,1000 туылғанға,қыздар,Атырау,городское население,,14.26
2012,1000 туылғанға,қыздар,Атырау,городское население,,18.18
2013,1000 туылғанға,қыздар,Атырау,городское население,,10.93
2014,1000 туылғанға,қыздар,Атырау,городское население,,10.24
2015,1000 туылғанға,қыздар,Атырау,городское население,,7.12
2016,1000 туылғанға,қыздар,Атырау,городское население,,11.96
2017,1000 туылғанға,қыздар,Атырау,городское население,,10.65
2018,1000 туылғанға,қыздар,Атырау,городское население,,11.22
2010,1000 туылғанға,қыздар,Батыс Қазақстан,городское население,,18.14
2011,1000 туылғанға,қыздар,Батыс Қазақстан,городское население,,12.99
2012,1000 туылғанға,қыздар,Батыс Қазақстан,городское население,,5.74
2013,1000 туылғанға,қыздар,Батыс Қазақстан,городское население,,7.59
2014,1000 туылғанға,қыздар,Батыс Қазақстан,городское население,,10.48
2015,1000 туылғанға,қыздар,Батыс Қазақстан,городское население,,11.79
2016,1000 туылғанға,қыздар,Батыс Қазақстан,городское население,,7.66
2017,1000 туылғанға,қыздар,Батыс Қазақстан,городское население,,9.51
2018,1000 туылғанға,қыздар,Батыс Қазақстан,городское население,,5.37
2010,1000 туылғанға,қыздар,Жамбыл,городское население,,20.27
2011,1000 туылғанға,қыздар,Жамбыл,городское население,,18.19
2012,1000 туылғанға,қыздар,Жамбыл,городское население,,14.71
2013,1000 туылғанға,қыздар,Жамбыл,городское население,,21.63
2014,1000 туылғанға,қыздар,Жамбыл,городское население,,16.85
2015,1000 туылғанға,қыздар,Жамбыл,городское население,,15.88
2016,1000 туылғанға,қыздар,Жамбыл,городское население,,10.12
2017,1000 туылғанға,қыздар,Жамбыл,городское население,,9.4
2018,1000 туылғанға,қыздар,Жамбыл,городское население,,7.57
2010,1000 туылғанға,қыздар,Қарағанды,городское население,,13.54
2011,1000 туылғанға,қыздар,Қарағанды,городское население,,9.61
2012,1000 туылғанға,қыздар,Қарағанды,городское население,,12.32
2013,1000 туылғанға,қыздар,Қарағанды,городское население,,10.81
2014,1000 туылғанға,қыздар,Қарағанды,городское население,,8.34
2015,1000 туылғанға,қыздар,Қарағанды,городское население,,8.7
2016,1000 туылғанға,қыздар,Қарағанды,городское население,,8.06
2017,1000 туылғанға,қыздар,Қарағанды,городское население,,8.75
2018,1000 туылғанға,қыздар,Қарағанды,городское население,,6.98
2010,1000 туылғанға,қыздар,Қостанай,городское население,,14.04
2011,1000 туылғанға,қыздар,Қостанай,городское население,,12.58
2012,1000 туылғанға,қыздар,Қостанай,городское население,,12.53
2013,1000 туылғанға,қыздар,Қостанай,городское население,,8.92
2014,1000 туылғанға,қыздар,Қостанай,городское население,,13.62
2015,1000 туылғанға,қыздар,Қостанай,городское население,,12.02
2016,1000 туылғанға,қыздар,Қостанай,городское население,,10.83
2017,1000 туылғанға,қыздар,Қостанай,городское население,,10.0
2018,1000 туылғанға,қыздар,Қостанай,городское население,,7.97
2010,1000 туылғанға,қыздар,Қызылорда,городское население,,21.82
2011,1000 туылғанға,қыздар,Қызылорда,городское население,,20.36
2012,1000 туылғанға,қыздар,Қызылорда,городское население,,17.74
2013,1000 туылғанға,қыздар,Қызылорда,городское население,,18.68
2014,1000 туылғанға,қыздар,Қызылорда,городское население,,15.21
2015,1000 туылғанға,қыздар,Қызылорда,городское население,,14.0
2016,1000 туылғанға,қыздар,Қызылорда,городское население,,13.25
2017,1000 туылғанға,қыздар,Қызылорда,городское население,,10.71
2018,1000 туылғанға,қыздар,Қызылорда,городское население,,10.88
2010,1000 туылғанға,қыздар,Маңғыстау,городское население,,22.24
2011,1000 туылғанға,қыздар,Маңғыстау,городское население,,17.48
2012,1000 туылғанға,қыздар,Маңғыстау,городское население,,14.98
2013,1000 туылғанға,қыздар,Маңғыстау,городское население,,9.96
2014,1000 туылғанға,қыздар,Маңғыстау,городское население,,9.34
2015,1000 туылғанға,қыздар,Маңғыстау,городское население,,9.69
2016,1000 туылғанға,қыздар,Маңғыстау,городское население,,8.41
2017,1000 туылғанға,қыздар,Маңғыстау,городское население,,6.51
2018,1000 туылғанға,қыздар,Маңғыстау,городское население,,10.41
2010,1000 туылғанға,қыздар,Оңтүстік Қазақстан,городское население,,20.31
2011,1000 туылғанға,қыздар,Оңтүстік Қазақстан,городское население,,21.35
2012,1000 туылғанға,қыздар,Оңтүстік Қазақстан,городское население,,16.89
2013,1000 туылғанға,қыздар,Оңтүстік Қазақстан,городское население,,15.54
2014,1000 туылғанға,қыздар,Оңтүстік Қазақстан,городское население,,13.42
2015,1000 туылғанға,қыздар,Оңтүстік Қазақстан,городское население,,12.63
2016,1000 туылғанға,қыздар,Оңтүстік Қазақстан,городское население,,9.57
2017,1000 туылғанға,қыздар,Оңтүстік Қазақстан,городское население,,10.85
2018,1000 туылғанға,қыздар,Оңтүстік Қазақстан,городское население,,8.06
2010,1000 туылғанға,қыздар,Павлодар,городское население,,13.07
2011,1000 туылғанға,қыздар,Павлодар,городское население,,11.56
2012,1000 туылғанға,қыздар,Павлодар,городское население,,8.4
2013,1000 туылғанға,қыздар,Павлодар,городское население,,9.31
2014,1000 туылғанға,қыздар,Павлодар,городское население,,9.61
2015,1000 туылғанға,қыздар,Павлодар,городское население,,8.23
2016,1000 туылғанға,қыздар,Павлодар,городское население,,8.13
2017,1000 туылғанға,қыздар,Павлодар,городское население,,8.78
2018,1000 туылғанға,қыздар,Павлодар,городское население,,7.35
2010,1000 туылғанға,қыздар,Солтүстік Қазақстан,городское население,,13.06
2011,1000 туылғанға,қыздар,Солтүстік Қазақстан,городское население,,9.39
2012,1000 туылғанға,қыздар,Солтүстік Қазақстан,городское население,,13.43
2013,1000 туылғанға,қыздар,Солтүстік Қазақстан,городское население,,10.82
2014,1000 туылғанға,қыздар,Солтүстік Қазақстан,городское население,,9.25
2015,1000 туылғанға,қыздар,Солтүстік Қазақстан,городское население,,9.13
2016,1000 туылғанға,қыздар,Солтүстік Қазақстан,городское население,,6.0
2017,1000 туылғанға,қыздар,Солтүстік Қазақстан,городское население,,12.96
2018,1000 туылғанға,қыздар,Солтүстік Қазақстан,городское население,,9.26
2018,1000 туылғанға,қыздар,Түркістан,городское население,,8.06
2010,1000 туылғанға,қыздар,Шығыс Қазақстан,городское население,,19.86
