Year,Units,Аймақ,Жынысы,Өңірлер,Value
2016,пайыз,сельская местность,,Оңтүстік Қазақстан,37.8
2017,пайыз,сельская местность,,Оңтүстік Қазақстан,39.9
2010,пайыз,сельская местность,,Павлодар,14.1
2011,пайыз,сельская местность,,Павлодар,13.8
2012,пайыз,сельская местность,,Павлодар,14.4
2013,пайыз,сельская местность,,Павлодар,19.1
2014,пайыз,сельская местность,,Павлодар,22.6
2015,пайыз,сельская местность,,Павлодар,22.1
2016,пайыз,сельская местность,,Павлодар,21.7
2017,пайыз,сельская местность,,Павлодар,21.6
2018,пайыз,сельская местность,,Павлодар,25.5
2010,пайыз,сельская местность,,Солтүстік Қазақстан,11.2
2011,пайыз,сельская местность,,Солтүстік Қазақстан,18.5
2012,пайыз,сельская местность,,Солтүстік Қазақстан,18.0
2013,пайыз,сельская местность,,Солтүстік Қазақстан,14.9
2014,пайыз,сельская местность,,Солтүстік Қазақстан,24.0
2015,пайыз,сельская местность,,Солтүстік Қазақстан,23.5
2016,пайыз,сельская местность,,Солтүстік Қазақстан,17.6
2017,пайыз,сельская местность,,Солтүстік Қазақстан,21.2
2018,пайыз,сельская местность,,Солтүстік Қазақстан,20.5
2018,пайыз,сельская местность,,Түркістан,40.4
2010,пайыз,сельская местность,,Шығыс Қазақстан,15.8
2011,пайыз,сельская местность,,Шығыс Қазақстан,17.1
2012,пайыз,сельская местность,,Шығыс Қазақстан,18.6
2013,пайыз,сельская местность,,Шығыс Қазақстан,17.8
2014,пайыз,сельская местность,,Шығыс Қазақстан,22.0
2015,пайыз,сельская местность,,Шығыс Қазақстан,26.0
2016,пайыз,сельская местность,,Шығыс Қазақстан,29.6
2017,пайыз,сельская местность,,Шығыс Қазақстан,27.9
2018,пайыз,сельская местность,,Шығыс Қазақстан,27.7
2010,пайыз,сельская местность,ерлер,,14.9
2011,пайыз,сельская местность,ерлер,,17.3
2012,пайыз,сельская местность,ерлер,,22.7
2013,пайыз,сельская местность,ерлер,,19.5
2014,пайыз,сельская местность,ерлер,,23.9
2015,пайыз,сельская местность,ерлер,,23.3
2016,пайыз,сельская местность,ерлер,,24.6
2017,пайыз,сельская местность,ерлер,,27.1
2018,пайыз,сельская местность,ерлер,,27.2
2010,пайыз,сельская местность,ерлер,Ақмола,17.3
2011,пайыз,сельская местность,ерлер,Ақмола,17.3
2012,пайыз,сельская местность,ерлер,Ақмола,11.1
2013,пайыз,сельская местность,ерлер,Ақмола,16.7
2014,пайыз,сельская местность,ерлер,Ақмола,19.0
2015,пайыз,сельская местность,ерлер,Ақмола,23.6
2016,пайыз,сельская местность,ерлер,Ақмола,28.8
2017,пайыз,сельская местность,ерлер,Ақмола,24.5
2018,пайыз,сельская местность,ерлер,Ақмола,27.5
2010,пайыз,сельская местность,ерлер,Ақтөбе,20.3
2011,пайыз,сельская местность,ерлер,Ақтөбе,20.9
2012,пайыз,сельская местность,ерлер,Ақтөбе,32.6
2013,пайыз,сельская местность,ерлер,Ақтөбе,21.9
2014,пайыз,сельская местность,ерлер,Ақтөбе,18.4
2015,пайыз,сельская местность,ерлер,Ақтөбе,19.1
2016,пайыз,сельская местность,ерлер,Ақтөбе,21.3
2017,пайыз,сельская местность,ерлер,Ақтөбе,26.5
2018,пайыз,сельская местность,ерлер,Ақтөбе,19.8
2010,пайыз,сельская местность,ерлер,Алматы,21.9
2011,пайыз,сельская местность,ерлер,Алматы,20.8
2012,пайыз,сельская местность,ерлер,Алматы,25.7
2013,пайыз,сельская местность,ерлер,Алматы,24.8
2014,пайыз,сельская местность,ерлер,Алматы,21.9
2015,пайыз,сельская местность,ерлер,Алматы,21.6
2016,пайыз,сельская местность,ерлер,Алматы,21.5
2017,пайыз,сельская местность,ерлер,Алматы,30.0
2018,пайыз,сельская местность,ерлер,Алматы,27.6
2010,пайыз,сельская местность,ерлер,Атырау,13.6
2011,пайыз,сельская местность,ерлер,Атырау,16.3
2012,пайыз,сельская местность,ерлер,Атырау,27.3
2013,пайыз,сельская местность,ерлер,Атырау,23.4
2014,пайыз,сельская местность,ерлер,Атырау,21.4
2015,пайыз,сельская местность,ерлер,Атырау,19.4
2016,пайыз,сельская местность,ерлер,Атырау,25.4
2017,пайыз,сельская местность,ерлер,Атырау,19.5
2018,пайыз,сельская местность,ерлер,Атырау,37.6
2010,пайыз,сельская местность,ерлер,Батыс Қазақстан,17.0
2011,пайыз,сельская местность,ерлер,Батыс Қазақстан,15.8
2012,пайыз,сельская местность,ерлер,Батыс Қазақстан,18.4
2013,пайыз,сельская местность,ерлер,Батыс Қазақстан,20.4
2014,пайыз,сельская местность,ерлер,Батыс Қазақстан,21.7
2015,пайыз,сельская местность,ерлер,Батыс Қазақстан,20.4
2016,пайыз,сельская местность,ерлер,Батыс Қазақстан,18.1
2017,пайыз,сельская местность,ерлер,Батыс Қазақстан,19.0
2018,пайыз,сельская местность,ерлер,Батыс Қазақстан,21.3
2010,пайыз,сельская местность,ерлер,Жамбыл,11.3
2011,пайыз,сельская местность,ерлер,Жамбыл,14.0
2012,пайыз,сельская местность,ерлер,Жамбыл,21.9
2013,пайыз,сельская местность,ерлер,Жамбыл,19.8
2014,пайыз,сельская местность,ерлер,Жамбыл,20.7
2015,пайыз,сельская местность,ерлер,Жамбыл,21.7
2016,пайыз,сельская местность,ерлер,Жамбыл,20.0
2017,пайыз,сельская местность,ерлер,Жамбыл,23.4
2018,пайыз,сельская местность,ерлер,Жамбыл,27.7
2010,пайыз,сельская местность,ерлер,Қарағанды,13.2
2011,пайыз,сельская местность,ерлер,Қарағанды,23.3
2012,пайыз,сельская местность,ерлер,Қарағанды,40.2
2013,пайыз,сельская местность,ерлер,Қарағанды,27.6
2014,пайыз,сельская местность,ерлер,Қарағанды,17.5
2015,пайыз,сельская местность,ерлер,Қарағанды,22.4
2016,пайыз,сельская местность,ерлер,Қарағанды,23.3
2017,пайыз,сельская местность,ерлер,Қарағанды,26.7
2018,пайыз,сельская местность,ерлер,Қарағанды,21.6
2010,пайыз,сельская местность,ерлер,Қостанай,10.4
2011,пайыз,сельская местность,ерлер,Қостанай,13.8
2012,пайыз,сельская местность,ерлер,Қостанай,23.5
2013,пайыз,сельская местность,ерлер,Қостанай,11.6
2014,пайыз,сельская местность,ерлер,Қостанай,22.1
2015,пайыз,сельская местность,ерлер,Қостанай,20.9
2016,пайыз,сельская местность,ерлер,Қостанай,21.5
2017,пайыз,сельская местность,ерлер,Қостанай,23.6
2018,пайыз,сельская местность,ерлер,Қостанай,19.7
2010,пайыз,сельская местность,ерлер,Қызылорда,18.8
2011,пайыз,сельская местность,ерлер,Қызылорда,24.3
2012,пайыз,сельская местность,ерлер,Қызылорда,26.9
2013,пайыз,сельская местность,ерлер,Қызылорда,18.9
2014,пайыз,сельская местность,ерлер,Қызылорда,25.5
2015,пайыз,сельская местность,ерлер,Қызылорда,27.3
2016,пайыз,сельская местность,ерлер,Қызылорда,34.3
2017,пайыз,сельская местность,ерлер,Қызылорда,34.5
2018,пайыз,сельская местность,ерлер,Қызылорда,28.6
2010,пайыз,сельская местность,ерлер,Маңғыстау,18.1
2011,пайыз,сельская местность,ерлер,Маңғыстау,28.0
2012,пайыз,сельская местность,ерлер,Маңғыстау,42.7
2013,пайыз,сельская местность,ерлер,Маңғыстау,32.9
2014,пайыз,сельская местность,ерлер,Маңғыстау,29.6
2015,пайыз,сельская местность,ерлер,Маңғыстау,23.5
2016,пайыз,сельская местность,ерлер,Маңғыстау,27.0
2017,пайыз,сельская местность,ерлер,Маңғыстау,25.0
2018,пайыз,сельская местность,ерлер,Маңғыстау,25.2
2010,пайыз,сельская местность,ерлер,Оңтүстік Қазақстан,13.2
2011,пайыз,сельская местность,ерлер,Оңтүстік Қазақстан,14.6
2012,пайыз,сельская местность,ерлер,Оңтүстік Қазақстан,18.2
2013,пайыз,сельская местность,ерлер,Оңтүстік Қазақстан,16.5
2014,пайыз,сельская местность,ерлер,Оңтүстік Қазақстан,32.4
2015,пайыз,сельская местность,ерлер,Оңтүстік Қазақстан,30.3
2016,пайыз,сельская местность,ерлер,Оңтүстік Қазақстан,30.4
2017,пайыз,сельская местность,ерлер,Оңтүстік Қазақстан,33.9
2010,пайыз,сельская местность,ерлер,Павлодар,8.0
2011,пайыз,сельская местность,ерлер,Павлодар,12.7
2012,пайыз,сельская местность,ерлер,Павлодар,11.2
2013,пайыз,сельская местность,ерлер,Павлодар,14.8
2014,пайыз,сельская местность,ерлер,Павлодар,17.7
2015,пайыз,сельская местность,ерлер,Павлодар,14.5
2016,пайыз,сельская местность,ерлер,Павлодар,20.5
2017,пайыз,сельская местность,ерлер,Павлодар,19.6
2018,пайыз,сельская местность,ерлер,Павлодар,16.7
2010,пайыз,сельская местность,ерлер,Солтүстік Қазақстан,8.3
2011,пайыз,сельская местность,ерлер,Солтүстік Қазақстан,14.5
2012,пайыз,сельская местность,ерлер,Солтүстік Қазақстан,15.2
2013,пайыз,сельская местность,ерлер,Солтүстік Қазақстан,13.3
2014,пайыз,сельская местность,ерлер,Солтүстік Қазақстан,21.6
2015,пайыз,сельская местность,ерлер,Солтүстік Қазақстан,17.8
2016,пайыз,сельская местность,ерлер,Солтүстік Қазақстан,13.0
2017,пайыз,сельская местность,ерлер,Солтүстік Қазақстан,18.4
2018,пайыз,сельская местность,ерлер,Солтүстік Қазақстан,16.2
2018,пайыз,сельская местность,ерлер,Түркістан,33.4
2010,пайыз,сельская местность,ерлер,Шығыс Қазақстан,11.4
2011,пайыз,сельская местность,ерлер,Шығыс Қазақстан,13.9
2012,пайыз,сельская местность,ерлер,Шығыс Қазақстан,17.1
2013,пайыз,сельская местность,ерлер,Шығыс Қазақстан,12.3
2014,пайыз,сельская местность,ерлер,Шығыс Қазақстан,18.5
2015,пайыз,сельская местность,ерлер,Шығыс Қазақстан,18.9
2016,пайыз,сельская местность,ерлер,Шығыс Қазақстан,25.8
2017,пайыз,сельская местность,ерлер,Шығыс Қазақстан,22.2
2018,пайыз,сельская местность,ерлер,Шығыс Қазақстан,25.9
2010,пайыз,сельская местность,әйелдер,,24.1
2011,пайыз,сельская местность,әйелдер,,26.3
2012,пайыз,сельская местность,әйелдер,,27.0
2013,пайыз,сельская местность,әйелдер,,26.4
2014,пайыз,сельская местность,әйелдер,,34.1
2015,пайыз,сельская местность,әйелдер,,36.0
2016,пайыз,сельская местность,әйелдер,,36.9
2017,пайыз,сельская местность,әйелдер,,38.0
2018,пайыз,сельская местность,әйелдер,,39.1
2010,пайыз,сельская местность,әйелдер,Ақмола,19.2
2011,пайыз,сельская местность,әйелдер,Ақмола,18.4
2012,пайыз,сельская местность,әйелдер,Ақмола,32.4
2013,пайыз,сельская местность,әйелдер,Ақмола,32.5
2014,пайыз,сельская местность,әйелдер,Ақмола,30.4
2015,пайыз,сельская местность,әйелдер,Ақмола,29.4
2016,пайыз,сельская местность,әйелдер,Ақмола,37.1
2017,пайыз,сельская местность,әйелдер,Ақмола,36.6
2018,пайыз,сельская местность,әйелдер,Ақмола,39.9
2010,пайыз,сельская местность,әйелдер,Ақтөбе,34.9
2011,пайыз,сельская местность,әйелдер,Ақтөбе,27.8
2012,пайыз,сельская местность,әйелдер,Ақтөбе,20.5
2013,пайыз,сельская местность,әйелдер,Ақтөбе,28.0
2014,пайыз,сельская местность,әйелдер,Ақтөбе,38.8
2015,пайыз,сельская местность,әйелдер,Ақтөбе,41.0
2016,пайыз,сельская местность,әйелдер,Ақтөбе,39.3
2017,пайыз,сельская местность,әйелдер,Ақтөбе,40.5
2018,пайыз,сельская местность,әйелдер,Ақтөбе,45.8
2010,пайыз,сельская местность,әйелдер,Алматы,35.1
2011,пайыз,сельская местность,әйелдер,Алматы,34.2
2012,пайыз,сельская местность,әйелдер,Алматы,27.1
2013,пайыз,сельская местность,әйелдер,Алматы,22.5
2014,пайыз,сельская местность,әйелдер,Алматы,29.8
2015,пайыз,сельская местность,әйелдер,Алматы,32.0
2016,пайыз,сельская местность,әйелдер,Алматы,31.4
2017,пайыз,сельская местность,әйелдер,Алматы,36.3
2018,пайыз,сельская местность,әйелдер,Алматы,38.0
2010,пайыз,сельская местность,әйелдер,Атырау,23.5
2011,пайыз,сельская местность,әйелдер,Атырау,28.3
2012,пайыз,сельская местность,әйелдер,Атырау,43.9
2013,пайыз,сельская местность,әйелдер,Атырау,41.6
2014,пайыз,сельская местность,әйелдер,Атырау,41.4
2015,пайыз,сельская местность,әйелдер,Атырау,44.8
2016,пайыз,сельская местность,әйелдер,Атырау,56.0
2017,пайыз,сельская местность,әйелдер,Атырау,53.4
2018,пайыз,сельская местность,әйелдер,Атырау,58.3
2010,пайыз,сельская местность,әйелдер,Батыс Қазақстан,26.5
2011,пайыз,сельская местность,әйелдер,Батыс Қазақстан,27.2
2012,пайыз,сельская местность,әйелдер,Батыс Қазақстан,23.2
2013,пайыз,сельская местность,әйелдер,Батыс Қазақстан,34.0
2014,пайыз,сельская местность,әйелдер,Батыс Қазақстан,31.4
2015,пайыз,сельская местность,әйелдер,Батыс Қазақстан,32.5
2016,пайыз,сельская местность,әйелдер,Батыс Қазақстан,33.3
2017,пайыз,сельская местность,әйелдер,Батыс Қазақстан,26.5
2018,пайыз,сельская местность,әйелдер,Батыс Қазақстан,30.2
2010,пайыз,сельская местность,әйелдер,Жамбыл,16.7
2011,пайыз,сельская местность,әйелдер,Жамбыл,24.3
2012,пайыз,сельская местность,әйелдер,Жамбыл,21.5
2013,пайыз,сельская местность,әйелдер,Жамбыл,15.6
2014,пайыз,сельская местность,әйелдер,Жамбыл,27.8
2015,пайыз,сельская местность,әйелдер,Жамбыл,29.9
2016,пайыз,сельская местность,әйелдер,Жамбыл,25.9
2017,пайыз,сельская местность,әйелдер,Жамбыл,35.5
2018,пайыз,сельская местность,әйелдер,Жамбыл,37.7
2010,пайыз,сельская местность,әйелдер,Қарағанды,31.3
2011,пайыз,сельская местность,әйелдер,Қарағанды,30.2
2012,пайыз,сельская местность,әйелдер,Қарағанды,50.2
2013,пайыз,сельская местность,әйелдер,Қарағанды,42.7
2014,пайыз,сельская местность,әйелдер,Қарағанды,31.8
2015,пайыз,сельская местность,әйелдер,Қарағанды,38.4
2016,пайыз,сельская местность,әйелдер,Қарағанды,37.8
2017,пайыз,сельская местность,әйелдер,Қарағанды,36.6
2018,пайыз,сельская местность,әйелдер,Қарағанды,34.7
2010,пайыз,сельская местность,әйелдер,Қостанай,27.3
2011,пайыз,сельская местность,әйелдер,Қостанай,26.6
2012,пайыз,сельская местность,әйелдер,Қостанай,28.8
2013,пайыз,сельская местность,әйелдер,Қостанай,30.5
2014,пайыз,сельская местность,әйелдер,Қостанай,29.8
2015,пайыз,сельская местность,әйелдер,Қостанай,35.1
2016,пайыз,сельская местность,әйелдер,Қостанай,30.3
2017,пайыз,сельская местность,әйелдер,Қостанай,33.3
2018,пайыз,сельская местность,әйелдер,Қостанай,32.4
2010,пайыз,сельская местность,әйелдер,Қызылорда,25.4
2011,пайыз,сельская местность,әйелдер,Қызылорда,32.6
2012,пайыз,сельская местность,әйелдер,Қызылорда,41.5
2013,пайыз,сельская местность,әйелдер,Қызылорда,46.0
2014,пайыз,сельская местность,әйелдер,Қызылорда,34.8
2015,пайыз,сельская местность,әйелдер,Қызылорда,38.3
2016,пайыз,сельская местность,әйелдер,Қызылорда,42.1
2017,пайыз,сельская местность,әйелдер,Қызылорда,39.4
2018,пайыз,сельская местность,әйелдер,Қызылорда,37.5
2010,пайыз,сельская местность,әйелдер,Маңғыстау,26.9
2011,пайыз,сельская местность,әйелдер,Маңғыстау,31.2
2012,пайыз,сельская местность,әйелдер,Маңғыстау,46.1
2013,пайыз,сельская местность,әйелдер,Маңғыстау,27.1
2014,пайыз,сельская местность,әйелдер,Маңғыстау,51.5
2015,пайыз,сельская местность,әйелдер,Маңғыстау,35.6
2016,пайыз,сельская местность,әйелдер,Маңғыстау,37.4
2017,пайыз,сельская местность,әйелдер,Маңғыстау,29.9
2018,пайыз,сельская местность,әйелдер,Маңғыстау,30.6
2010,пайыз,сельская местность,әйелдер,Оңтүстік Қазақстан,19.1
2011,пайыз,сельская местность,әйелдер,Оңтүстік Қазақстан,23.0
2012,пайыз,сельская местность,әйелдер,Оңтүстік Қазақстан,20.9
2013,пайыз,сельская местность,әйелдер,Оңтүстік Қазақстан,21.7
2014,пайыз,сельская местность,әйелдер,Оңтүстік Қазақстан,42.8
2015,пайыз,сельская местность,әйелдер,Оңтүстік Қазақстан,43.8
2016,пайыз,сельская местность,әйелдер,Оңтүстік Қазақстан,48.3
2017,пайыз,сельская местность,әйелдер,Оңтүстік Қазақстан,48.7
2010,пайыз,сельская местность,әйелдер,Павлодар,20.6
2011,пайыз,сельская местность,әйелдер,Павлодар,14.9
2012,пайыз,сельская местность,әйелдер,Павлодар,19.4
2013,пайыз,сельская местность,әйелдер,Павлодар,27.2
2014,пайыз,сельская местность,әйелдер,Павлодар,28.0
2015,пайыз,сельская местность,әйелдер,Павлодар,30.3
2016,пайыз,сельская местность,әйелдер,Павлодар,23.2
2017,пайыз,сельская местность,әйелдер,Павлодар,24.2
2018,пайыз,сельская местность,әйелдер,Павлодар,35.0
2010,пайыз,сельская местность,әйелдер,Солтүстік Қазақстан,14.4
2011,пайыз,сельская местность,әйелдер,Солтүстік Қазақстан,22.8
2012,пайыз,сельская местность,әйелдер,Солтүстік Қазақстан,21.6
2013,пайыз,сельская местность,әйелдер,Солтүстік Қазақстан,17.4
2014,пайыз,сельская местность,әйелдер,Солтүстік Қазақстан,27.1
2015,пайыз,сельская местность,әйелдер,Солтүстік Қазақстан,30.9
2016,пайыз,сельская местность,әйелдер,Солтүстік Қазақстан,24.0
2017,пайыз,сельская местность,әйелдер,Солтүстік Қазақстан,25.0
2018,пайыз,сельская местность,әйелдер,Солтүстік Қазақстан,26.2
2018,пайыз,сельская местность,әйелдер,Түркістан,49.2
2010,пайыз,сельская местность,әйелдер,Шығыс Қазақстан,22.2
2011,пайыз,сельская местность,әйелдер,Шығыс Қазақстан,21.9
2012,пайыз,сельская местность,әйелдер,Шығыс Қазақстан,20.5
2013,пайыз,сельская местность,әйелдер,Шығыс Қазақстан,24.7
2014,пайыз,сельская местность,әйелдер,Шығыс Қазақстан,26.9
2015,пайыз,сельская местность,әйелдер,Шығыс Қазақстан,36.9
2016,пайыз,сельская местность,әйелдер,Шығыс Қазақстан,35.1
2017,пайыз,сельская местность,әйелдер,Шығыс Қазақстан,35.9
2018,пайыз,сельская местность,әйелдер,Шығыс Қазақстан,29.9
